Date,AAPL,JPM,AMZN,GOOGL,NSRGY,^GSPC
2022/1/3,178.8799286,146.9958191,170.4044952,144.30159,129.724762,4796.560059
2022/1/4,176.6096344,152.5683899,167.5220032,143.7124329,130.0750275,4793.540039
2022/1/5,171.9118652,149.779129,164.3569946,137.1194458,125.6322784,4700.580078
2022/1/6,169.0420685,151.3703766,163.2539978,137.0920715,125.4479294,4696.049805
2022/1/7,169.209137,152.8701935,162.5540009,136.3650665,124.7197571,4677.029785
2022/1/10,169.2287903,153.0164795,161.4859924,138.0096741,121.6688156,4670.290039
2022/1/11,172.0691071,153.1719666,165.3619995,139.071106,121.9176865,4713.069824
2022/1/12,172.5113525,154.0407715,165.2070007,140.7575378,122.6919403,4726.350098
2022/1/13,169.2287903,153.8486938,161.2140045,137.927597,121.8900375,4659.029785
2022/1/14,170.0936737,144.3926392,162.1380005,138.8168182,122.1573334,4662.850098
2022/1/18,166.8798828,138.3385773,158.9174957,135.3508911,122.8394165,4577.109863
2022/1/19,163.3713074,136.1985931,156.298996,134.4735718,121.0696945,4532.759766
2022/1/20,161.6808777,135.0371704,151.6674957,132.6731873,121.1250076,4482.72998
2022/1/21,159.6169891,132.6777344,142.6430054,129.7312622,121.6780319,4397.939941
2022/1/24,158.8405457,132.5588074,144.5440063,130.1816101,119.7423935,4410.129883
2022/1/25,157.032196,134.0037537,139.9859924,126.3310165,118.4980545,4356.450195
2022/1/26,156.9437714,135.2749481,138.8724976,128.6180725,117.1799698,4349.930176
2022/1/27,156.4818115,132.8880463,139.6374969,128.3911743,116.8204956,4326.509766
2022/1/28,167.4007874,134.0769196,143.9779968,132.7164917,117.6408386,4431.850098
2022/1/31,171.7742615,135.8967896,149.5735016,134.6596832,119.0326614,4515.549805
2022/2/1,171.6072083,138.2288208,151.1934967,136.9890442,119.5857086,4546.540039
2022/2/2,172.8160248,137.1222382,150.6125031,147.2957916,120.9682999,4589.379883
2022/2/3,169.9265747,135.9882507,138.8455048,142.4091339,119.1156082,4477.439941
2022/2/4,169.6412048,139.5182953,157.6394958,142.6111908,118.9036179,4500.529785
2022/2/7,168.9228363,139.9846954,157.9355011,138.5386505,118.6916275,4483.870117
2022/2/8,172.0423279,142.6184845,161.4134979,138.7357178,117.8436203,4521.540039
2022/2/9,173.4691772,143.2129211,161.1894989,140.9182739,118.9036179,4587.180176
2022/2/10,169.3755188,142.6184845,159.0034943,137.9604187,116.9311066,4504.080078
2022/2/11,165.9510193,140.7619934,153.2935028,133.6435699,118.2399673,4418.640137
2022/2/14,166.1871796,139.4542694,155.1670074,134.8811493,117.0601501,4401.669922
2022/2/15,170.0348206,141.4936066,156.510498,135.9584961,117.6869278,4471.069824
2022/2/16,169.7986755,141.7496948,158.1004944,137.0826111,117.8897095,4475.009766
2022/2/17,166.1871796,138.4848785,154.6524963,131.9083557,117.7145844,4380.259766
2022/2/18,164.6323853,139.1341705,152.6015015,129.7825165,118.1754532,4348.870117
2022/2/22,161.6998749,138.8872681,150.1974945,129.1958313,118.4519577,4304.759766
2022/2/23,157.5176849,135.9790955,144.8269958,126.9809113,118.9404831,4225.5
2022/2/24,160.1450806,132.1930084,151.3580017,132.0596008,116.0278015,4288.700195
2022/2/25,162.2214355,135.3206787,153.7884979,133.8197174,118.3229218,4384.649902
